BR,PRODUCT,TYPE,ARGNO,DEALNO,SEQ,GLNO,COSTCENT,CCY,BEIND,CODE,QUAL,EFFDATE,POSTDATE,CMNE,DRCRIND,AMOUNT,SMEANS,SACCT,DESCR,DWH_ENTRY_DATE
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,27/02/2026,27/02/2026,HMGGBLDN  ,CR,1040.25,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,28/02/2026,28/02/2026,HMGGBLDN  ,CR,1040.25,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,01/03/2026,01/03/2026,HMGGBLDN  ,CR,1040.25,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,02/03/2026,02/03/2026,HMGGBLDN  ,CR,1040.98,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,03/03/2026,03/03/2026,HMGGBLDN  ,CR,3122.21,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,06/03/2026,06/03/2026,HMGGBLDN  ,CR,1040.98,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,07/03/2026,07/03/2026,HMGGBLDN  ,CR,1040.98,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,09/03/2026,09/03/2026,HMGGBLDN  ,CR,1041.71,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,10/03/2026,10/03/2026,HMGGBLDN  ,CR,3125.13,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,13/03/2026,13/03/2026,HMGGBLDN  ,CR,1041.71,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
