BR,PRODUCT,TYPE,ARGNO,DEALNO,SEQ,GLNO,COSTCENT,CCY,BEIND,CODE,QUAL,EFFDATE,POSTDATE,CMNE,DRCRIND,AMOUNT,SMEANS,SACCT,DESCR,DWH_ENTRY_DATE
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,14/03/2026,14/03/2026,HMGGBLDN  ,CR,1041.71,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,15/03/2026,15/03/2026,HMGGBLDN  ,CR,1042.44,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,16/03/2026,16/03/2026,HMGGBLDN  ,CR,1042.44,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,17/03/2026,17/03/2026,HMGGBLDN  ,CR,1042.44,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,20/03/2026,20/03/2026,HMGGBLDN  ,CR,3128.05,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,21/03/2026,21/03/2026,HMGGBLDN  ,CR,1043.17,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,22/03/2026,22/03/2026,HMGGBLDN  ,CR,1043.17,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,23/03/2026,23/03/2026,HMGGBLDN  ,CR,1043.17,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,24/03/2026,24/03/2026,HMGGBLDN  ,CR,3129.51,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,27/03/2026,27/03/2026,HMGGBLDN  ,CR,1043.17,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,28/03/2026,28/03/2026,HMGGBLDN  ,CR,1043.9,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,29/03/2026,29/03/2026,HMGGBLDN  ,CR,1043.9,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,30/03/2026,30/03/2026,HMGGBLDN  ,CR,1043.9,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,31/03/2026,31/03/2026,HMGGBLDN  ,CR,3132.43,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,03/04/2026,03/04/2026,HMGGBLDN  ,CR,1044.63,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,04/04/2026,04/04/2026,HMGGBLDN  ,CR,1044.63,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,05/04/2026,05/04/2026,HMGGBLDN  ,CR,1044.63,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,06/04/2026,06/04/2026,HMGGBLDN  ,CR,1044.63,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,07/04/2026,07/04/2026,HMGGBLDN  ,CR,3134.62,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,10/04/2026,10/04/2026,HMGGBLDN  ,CR,1045.36,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,11/04/2026,11/04/2026,HMGGBLDN  ,CR,1045.36,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,12/04/2026,12/04/2026,HMGGBLDN  ,CR,1045.36,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,13/04/2026,13/04/2026,HMGGBLDN  ,CR,1045.36,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,14/04/2026,14/04/2026,HMGGBLDN  ,CR,3136.81,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,17/04/2026,17/04/2026,HMGGBLDN  ,CR,1046.09,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,18/04/2026,18/04/2026,HMGGBLDN  ,CR,1046.09,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,19/04/2026,19/04/2026,HMGGBLDN  ,CR,1046.09,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,20/04/2026,20/04/2026,HMGGBLDN  ,CR,1046.09,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,21/04/2026,21/04/2026,HMGGBLDN  ,CR,3139.73,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,24/04/2026,24/04/2026,HMGGBLDN  ,CR,1046.82,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,25/04/2026,25/04/2026,HMGGBLDN  ,CR,1046.82,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,26/04/2026,26/04/2026,HMGGBLDN  ,CR,1046.82,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,27/04/2026,27/04/2026,HMGGBLDN  ,CR,1046.82,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,01/05/2026,01/05/2026,HMGGBLDN  ,CR,1047.55,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,02/05/2026,02/05/2026,HMGGBLDN  ,CR,1047.55,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,03/05/2026,03/05/2026,HMGGBLDN  ,CR,1047.55,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,04/05/2026,04/05/2026,HMGGBLDN  ,CR,1047.55,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,05/05/2026,05/05/2026,HMGGBLDN  ,CR,3144.11,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,08/05/2026,08/05/2026,HMGGBLDN  ,CR,1048.28,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,09/05/2026,09/05/2026,HMGGBLDN  ,CR,1048.28,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,10/05/2026,10/05/2026,HMGGBLDN  ,CR,5244.32,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,15/05/2026,15/05/2026,HMGGBLDN  ,CR,1049.01,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,16/05/2026,16/05/2026,HMGGBLDN  ,CR,1049.01,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,17/05/2026,17/05/2026,HMGGBLDN  ,CR,1049.74,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID02,0,44200001B      ,1000000000,GBP,0,2340,+,19/05/2026,19/05/2026,HMGGBLDN  ,CR,4198.96,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,27/02/2026,27/02/2026,HMGGBLDN  ,DR,1040.25,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,28/02/2026,28/02/2026,HMGGBLDN  ,DR,1040.25,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,01/03/2026,01/03/2026,HMGGBLDN  ,DR,1040.25,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,02/03/2026,02/03/2026,HMGGBLDN  ,DR,1040.98,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,03/03/2026,03/03/2026,HMGGBLDN  ,DR,3122.21,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,06/03/2026,06/03/2026,HMGGBLDN  ,DR,1040.98,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,07/03/2026,07/03/2026,HMGGBLDN  ,DR,1040.98,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,09/03/2026,09/03/2026,HMGGBLDN  ,DR,1041.71,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,10/03/2026,10/03/2026,HMGGBLDN  ,DR,3125.13,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,13/03/2026,13/03/2026,HMGGBLDN  ,DR,1041.71,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,14/03/2026,14/03/2026,HMGGBLDN  ,DR,1041.71,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,15/03/2026,15/03/2026,HMGGBLDN  ,DR,1042.44,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,16/03/2026,16/03/2026,HMGGBLDN  ,DR,1042.44,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,17/03/2026,17/03/2026,HMGGBLDN  ,DR,1042.44,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,20/03/2026,20/03/2026,HMGGBLDN  ,DR,3128.05,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,21/03/2026,21/03/2026,HMGGBLDN  ,DR,1043.17,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,22/03/2026,22/03/2026,HMGGBLDN  ,DR,1043.17,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,23/03/2026,23/03/2026,HMGGBLDN  ,DR,1043.17,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,24/03/2026,24/03/2026,HMGGBLDN  ,DR,3129.51,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,27/03/2026,27/03/2026,HMGGBLDN  ,DR,1043.17,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,28/03/2026,28/03/2026,HMGGBLDN  ,DR,1043.9,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,29/03/2026,29/03/2026,HMGGBLDN  ,DR,1043.9,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,30/03/2026,30/03/2026,HMGGBLDN  ,DR,1043.9,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,31/03/2026,31/03/2026,HMGGBLDN  ,DR,3132.43,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,03/04/2026,03/04/2026,HMGGBLDN  ,DR,1044.63,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,04/04/2026,04/04/2026,HMGGBLDN  ,DR,1044.63,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,05/04/2026,05/04/2026,HMGGBLDN  ,DR,1044.63,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,06/04/2026,06/04/2026,HMGGBLDN  ,DR,1044.63,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,07/04/2026,07/04/2026,HMGGBLDN  ,DR,3134.62,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,10/04/2026,10/04/2026,HMGGBLDN  ,DR,1045.36,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,11/04/2026,11/04/2026,HMGGBLDN  ,DR,1045.36,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,12/04/2026,12/04/2026,HMGGBLDN  ,DR,1045.36,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,13/04/2026,13/04/2026,HMGGBLDN  ,DR,1045.36,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,2,ID02,0,14200001TBB    ,1000000000,GBP,0,2340,+,14/04/2026,14/04/2026,HMGGBLDN  ,DR,3136.81,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID03,0,44200001B      ,1000000000,GBP,0,2340,+,08/03/2026,08/03/2026,HMGGBLDN  ,CR,1040.98,       ,               ,GB00XXXXXX01        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID03,0,44200001B      ,1000000000,GBP,0,2340,+,20/03/2026,20/03/2026,HMGGBLDN  ,CR,389.09,       ,               ,GB00XXXXXX02        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID03,0,44200001B      ,1000000000,GBP,0,2340,+,21/03/2026,21/03/2026,HMGGBLDN  ,CR,389.09,       ,               ,GB00XXXXXX02        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID03,0,44200001B      ,1000000000,GBP,0,2340,+,22/03/2026,22/03/2026,HMGGBLDN  ,CR,389.09,       ,               ,GB00XXXXXX02        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID03,0,44200001B      ,1000000000,GBP,0,2340,+,23/03/2026,23/03/2026,HMGGBLDN  ,CR,389.09,       ,               ,GB00XXXXXX02        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID03,0,44200001B      ,1000000000,GBP,0,2340,+,24/03/2026,24/03/2026,HMGGBLDN  ,CR,1167.27,       ,               ,GB00XXXXXX02        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID03,0,44200001B      ,1000000000,GBP,0,2340,+,27/03/2026,27/03/2026,HMGGBLDN  ,CR,389.09,       ,               ,GB00XXXXXX02        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID03,0,44200001B      ,1000000000,GBP,0,2340,+,28/03/2026,28/03/2026,HMGGBLDN  ,CR,389.09,       ,               ,GB00XXXXXX02        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID03,0,44200001B      ,1000000000,GBP,0,2340,+,29/03/2026,29/03/2026,HMGGBLDN  ,CR,389.09,       ,               ,GB00XXXXXX02        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID03,0,44200001B      ,1000000000,GBP,0,2340,+,30/03/2026,30/03/2026,HMGGBLDN  ,CR,389.09,       ,               ,GB00XXXXXX02        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID03,0,44200001B      ,1000000000,GBP,0,2340,+,31/03/2026,31/03/2026,HMGGBLDN  ,CR,1168,       ,               ,GB00XXXXXX02        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID03,0,44200001B      ,1000000000,GBP,0,2340,+,03/04/2026,03/04/2026,HMGGBLDN  ,CR,389.82,       ,               ,GB00XXXXXX02        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID03,0,44200001B      ,1000000000,GBP,0,2340,+,04/04/2026,04/04/2026,HMGGBLDN  ,CR,389.82,       ,               ,GB00XXXXXX02        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID03,0,44200001B      ,1000000000,GBP,0,2340,+,05/04/2026,05/04/2026,HMGGBLDN  ,CR,389.82,       ,               ,GB00XXXXXX02        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID03,0,44200001B      ,1000000000,GBP,0,2340,+,06/04/2026,06/04/2026,HMGGBLDN  ,CR,389.82,       ,               ,GB00XXXXXX02        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID03,0,44200001B      ,1000000000,GBP,0,2340,+,07/04/2026,07/04/2026,HMGGBLDN  ,CR,1169.46,       ,               ,GB00XXXXXX02        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID03,0,44200001B      ,1000000000,GBP,0,2340,+,10/04/2026,10/04/2026,HMGGBLDN  ,CR,389.82,       ,               ,GB00XXXXXX02        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID03,0,44200001B      ,1000000000,GBP,0,2340,+,11/04/2026,11/04/2026,HMGGBLDN  ,CR,389.82,       ,               ,GB00XXXXXX02        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID03,0,44200001B      ,1000000000,GBP,0,2340,+,12/04/2026,12/04/2026,HMGGBLDN  ,CR,389.82,       ,               ,GB00XXXXXX02        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID03,0,44200001B      ,1000000000,GBP,0,2340,+,13/04/2026,13/04/2026,HMGGBLDN  ,CR,389.82,       ,               ,GB00XXXXXX02        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
1,SECUR ,TB,1,ID03,0,44200001B      ,1000000000,GBP,0,2340,+,14/04/2026,14/04/2026,HMGGBLDN  ,CR,1170.19,       ,               ,GB00XXXXXX02        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56
