AS_OF_DATE,CREATED_DATE,YEAR,PERIOD_NAME,CURRENCY_CODE,BRANCH,COST_CENTER,OGL,SUB_GL,PRODUCT,INTER_BRANCH,FUTURE1,FUTURE2,ENDING_BALANCE,ENDING_BALANCE_EQ,MTD_ENTERED,MTD_ACCOUNTED,ENDING_BALANCE_DR,ENDING_BALANCE_CR,ENDING_BALANCE_EQ_DR,ENDING_BALANCE_EQ_CR,DWH_ENTRY_DATE,DWH_META_SOURCE_TABLE
02/01/2026,04/01/2026 11:02,2026,Jan-26,GBP,UK001,MF01,12000070,0,CA0001,UK001,FMOV,0,105713182.8,105713182.8,12945392,12945392,144726940.4,39013757.59,144726940.4,39013757.59,01/04/2026 00:00,T_BALANCE_CURRENT
02/01/2026,04/01/2026 11:02,2026,Jan-26,USD,UK001,MF01,12000070,0,CA0001,UK001,FMOV,0,49934746.08,37007890.08,-4979798.08,-3960883.54,79914376.29,29979630.21,61541395.09,24533505.01,01/04/2026 00:00,T_BALANCE_CURRENT
